Anon Period;TGL Biz Desc;TGL Business Unit;TGL Business Segment;TGL Business Subsegment;Orders cons. (anon);Revenue cons. (anon)
36;SSI;SSI027;SSI02780;SSI02780;0;0
37;SSI;SSI027;SSI02780;SSI02780;0;0
38;SSI;SSI027;SSI02780;SSI02780;0;0
39;SSI;SSI027;SSI02780;SSI02780;0;0
40;SSI;SSI027;SSI02780;SSI02780;0;0
41;SSI;SSI027;SSI02780;SSI02780;0;0
42;SSI;SSI027;SSI02780;SSI02780;0;0
1;SSI;SSI027;SSI02780;SSI0278002;275293360;217240039
2;SSI;SSI027;SSI02780;SSI0278002;281055434;224104922
3;SSI;SSI027;SSI02780;SSI0278002;213614728;200584211
4;SSI;SSI027;SSI02780;SSI0278002;222226032;198866179
5;SSI;SSI027;SSI02780;SSI0278002;198551849;198055118
6;SSI;SSI027;SSI02780;SSI0278002;263345442;244869922
7;SSI;SSI027;SSI02780;SSI0278002;224106979;196754472
8;SSI;SSI027;SSI02780;SSI0278002;224609232;216737510
9;SSI;SSI027;SSI02780;SSI0278002;239001294;237695171
10;SSI;SSI027;SSI02780;SSI0278002;242114004;225116700
11;SSI;SSI027;SSI02780;SSI0278002;223030096;234244141
12;SSI;SSI027;SSI02780;SSI0278002;229750223;266061497
13;SSI;SSI027;SSI02780;SSI0278002;263572397;249051032
14;SSI;SSI027;SSI02780;SSI0278002;308926301;249209045
15;SSI;SSI027;SSI02780;SSI0278002;201794619;221800335
16;SSI;SSI027;SSI02780;SSI0278002;204173007;221972735
17;SSI;SSI027;SSI02780;SSI0278002;190244363;228514275
18;SSI;SSI027;SSI02780;SSI0278002;223664005;261924188
19;SSI;SSI027;SSI02780;SSI0278002;176047927;204447770
20;SSI;SSI027;SSI02780;SSI0278002;196828884;220723064
21;SSI;SSI027;SSI02780;SSI0278002;201228179;228522639
22;SSI;SSI027;SSI02780;SSI0278002;184423024;206924687
23;SSI;SSI027;SSI02780;SSI0278002;212588376;206990188
24;SSI;SSI027;SSI02780;SSI0278002;217273931;246236327
25;SSI;SSI027;SSI02780;SSI0278002;203727795;204800346
26;SSI;SSI027;SSI02780;SSI0278002;243603142;213410971
27;SSI;SSI027;SSI02780;SSI0278002;200282166;190136835
28;SSI;SSI027;SSI02780;SSI0278002;206168555;215965261
29;SSI;SSI027;SSI02780;SSI0278002;198819287;210194364
30;SSI;SSI027;SSI02780;SSI0278002;217113363;220180682
31;SSI;SSI027;SSI02780;SSI0278002;208388108;217786562
32;SSI;SSI027;SSI02780;SSI0278002;198035985;207458509
33;SSI;SSI027;SSI02780;SSI0278002;207823479;205927308
34;SSI;SSI027;SSI02780;SSI0278002;206437029;218395810
35;SSI;SSI027;SSI02780;SSI0278002;217394132;210983720
36;SSI;SSI027;SSI02780;SSI0278002;253343533;272205242
37;SSI;SSI027;SSI02780;SSI0278002;245673531;222413736
38;SSI;SSI027;SSI02780;SSI0278002;223214399;207819559
39;SSI;SSI027;SSI02780;SSI0278002;192488211;188668194
40;SSI;SSI027;SSI02780;SSI0278002;219691745;228230412
41;SSI;SSI027;SSI02780;SSI0278002;209977155;220898952
42;SSI;SSI027;SSI02780;SSI0278002;260026105;242019685
1;SSI;SSI027;SSI02780;SSI0278004;96388378;86758077
2;SSI;SSI027;SSI02780;SSI0278004;110601235;90481765
3;SSI;SSI027;SSI02780;SSI0278004;106018428;89198148
4;SSI;SSI027;SSI02780;SSI0278004;101491703;86506344
5;SSI;SSI027;SSI02780;SSI0278004;98711119;85573296
6;SSI;SSI027;SSI02780;SSI0278004;125474261;108956219
7;SSI;SSI027;SSI02780;SSI0278004;92284359;92826055
8;SSI;SSI027;SSI02780;SSI0278004;103348857;98636820
9;SSI;SSI027;SSI02780;SSI0278004;109946801;106112586
10;SSI;SSI027;SSI02780;SSI0278004;118904534;103991061
11;SSI;SSI027;SSI02780;SSI0278004;106272916;103133971
12;SSI;SSI027;SSI02780;SSI0278004;120114373;127553219
13;SSI;SSI027;SSI02780;SSI0278004;117587274;104668293
14;SSI;SSI027;SSI02780;SSI0278004;115240147;116025753
15;SSI;SSI027;SSI02780;SSI0278004;89975312;100151842
16;SSI;SSI027;SSI02780;SSI0278004;80632794;95595900
17;SSI;SSI027;SSI02780;SSI0278004;87094857;100877722
18;SSI;SSI027;SSI02780;SSI0278004;112912626;127776281
19;SSI;SSI027;SSI02780;SSI0278004;82575594;89925410
20;SSI;SSI027;SSI02780;SSI0278004;90446032;101352284
21;SSI;SSI027;SSI02780;SSI0278004;99114187;111394569
22;SSI;SSI027;SSI02780;SSI0278004;87687774;89555409
23;SSI;SSI027;SSI02780;SSI0278004;95858373;94009310
24;SSI;SSI027;SSI02780;SSI0278004;118633871;113157345
25;SSI;SSI027;SSI02780;SSI0278004;108404178;97678979
26;SSI;SSI027;SSI02780;SSI0278004;107533917;105998663
27;SSI;SSI027;SSI02780;SSI0278004;89178279;94875846
28;SSI;SSI027;SSI02780;SSI0278004;103522329;106147513
29;SSI;SSI027;SSI02780;SSI0278004;101680169;101432021
30;SSI;SSI027;SSI02780;SSI0278004;109887376;102663024
31;SSI;SSI027;SSI02780;SSI0278004;115874155;108797593
32;SSI;SSI027;SSI02780;SSI0278004;98411727;105299990
33;SSI;SSI027;SSI02780;SSI0278004;104901768;107530807
34;SSI;SSI027;SSI02780;SSI0278004;111544608;117427563
35;SSI;SSI027;SSI02780;SSI0278004;103312326;103581952
36;SSI;SSI027;SSI02780;SSI0278004;128728807;127808458
37;SSI;SSI027;SSI02780;SSI0278004;149520232;120412358
38;SSI;SSI027;SSI02780;SSI0278004;110534841;116150838
39;SSI;SSI027;SSI02780;SSI0278004;92133199;116810409
40;SSI;SSI027;SSI02780;SSI0278004;129275193;121581041
41;SSI;SSI027;SSI02780;SSI0278004;120800939;123341921
42;SSI;SSI027;SSI02780;SSI0278004;150381056;133163649
37;SSI;SSI027;SSI02780;SSI0278006;7903910;7766838
38;SSI;SSI027;SSI02780;SSI0278006;7975110;7489023
39;SSI;SSI027;SSI02780;SSI0278006;4961554;5549996
40;SSI;SSI027;SSI02780;SSI0278006;443065;899872
41;SSI;SSI027;SSI02780;SSI0278006;3861627;4660429
42;SSI;SSI027;SSI02780;SSI0278006;4695858;5342953
4;SSI;SSI027;SSI02780;SSI0278099;0;0
5;SSI;SSI027;SSI02780;SSI0278099;0;0
6;SSI;SSI027;SSI02780;SSI0278099;0;0
24;SSI;SSI027;SSI02780;SSI0278099;0;0
25;SSI;SSI027;SSI02780;SSI0278099;1547475;1753154
26;SSI;SSI027;SSI02780;SSI0278099;1422264;1511523
27;SSI;SSI027;SSI02780;SSI0278099;959861;1349723
28;SSI;SSI027;SSI02780;SSI0278099;2292766;1719777
29;SSI;SSI027;SSI02780;SSI0278099;1357637;1930112
30;SSI;SSI027;SSI02780;SSI0278099;1241147;1375537
31;SSI;SSI027;SSI02780;SSI0278099;1562100;1498532
32;SSI;SSI027;SSI02780;SSI0278099;1272091;1216071
33;SSI;SSI027;SSI02780;SSI0278099;1173561;1180053
34;SSI;SSI027;SSI02780;SSI0278099;1409710;1679652
35;SSI;SSI027;SSI02780;SSI0278099;1243352;1128587
36;SSI;SSI027;SSI02780;SSI0278099;1159341;1122094
37;SSI;SSI027;SSI02780;SSI0278099;2136696;1874440
38;SSI;SSI027;SSI02780;SSI0278099;1430544;1676635
39;SSI;SSI027;SSI02780;SSI0278099;976289;1050668
40;SSI;SSI027;SSI02780;SSI0278099;2043572;1245017
41;SSI;SSI027;SSI02780;SSI0278099;1855383;1646749
42;SSI;SSI027;SSI02780;SSI0278099;1934649;2009441
1;SSI;SSI027;SSI02782;SSI02782;505358;208650
2;SSI;SSI027;SSI02782;SSI02782;224297;319331
3;SSI;SSI027;SSI02782;SSI02782;291284;599087
4;SSI;SSI027;SSI02782;SSI02782;394652;10335206
5;SSI;SSI027;SSI02782;SSI02782;161740;-8227861
6;SSI;SSI027;SSI02782;SSI02782;157859;-2808615
7;SSI;SSI027;SSI02782;SSI02782;325499;1195203
8;SSI;SSI027;SSI02782;SSI02782;164094;-646583
9;SSI;SSI027;SSI02782;SSI02782;625268;511461
10;SSI;SSI027;SSI02782;SSI02782;516032;2014628
11;SSI;SSI027;SSI02782;SSI02782;753069;2106882
12;SSI;SSI027;SSI02782;SSI02782;3511916;-899699
13;SSI;SSI027;SSI02782;SSI02782;110187;166175
14;SSI;SSI027;SSI02782;SSI02782;625410;518769
15;SSI;SSI027;SSI02782;SSI02782;2391002;1256481
16;SSI;SSI027;SSI02782;SSI02782;53891;102963
17;SSI;SSI027;SSI02782;SSI02782;629912;670753
18;SSI;SSI027;SSI02782;SSI02782;217250;169801
19;SSI;SSI027;SSI02782;SSI02782;449713;547473
20;SSI;SSI027;SSI02782;SSI02782;527250;426851
21;SSI;SSI027;SSI02782;SSI02782;770505;705328
22;SSI;SSI027;SSI02782;SSI02782;420762;690262
23;SSI;SSI027;SSI02782;SSI02782;45124;226446
24;SSI;SSI027;SSI02782;SSI02782;690871;1901678
25;SSI;SSI027;SSI02782;SSI02782;469857;422186
26;SSI;SSI027;SSI02782;SSI02782;1348828;-21164
27;SSI;SSI027;SSI02782;SSI02782;103974;152054
28;SSI;SSI027;SSI02782;SSI02782;156519;365222
29;SSI;SSI027;SSI02782;SSI02782;204655;262102
30;SSI;SSI027;SSI02782;SSI02782;1102417;361312
31;SSI;SSI027;SSI02782;SSI02782;26648;326924
32;SSI;SSI027;SSI02782;SSI02782;-92992;-24882
33;SSI;SSI027;SSI02782;SSI02782;884423;1196638
34;SSI;SSI027;SSI02782;SSI02782;361404;193343
35;SSI;SSI027;SSI02782;SSI02782;593212;856194
36;SSI;SSI027;SSI02782;SSI02782;1001370;1894459
37;SSI;SSI027;SSI02782;SSI02782;0;0
38;SSI;SSI027;SSI02782;SSI02782;0;0
39;SSI;SSI027;SSI02782;SSI02782;0;0
40;SSI;SSI027;SSI02782;SSI02782;0;-7
41;SSI;SSI027;SSI02782;SSI02782;0;0
42;SSI;SSI027;SSI02782;SSI02782;0;428299
1;SSI;SSI027;SSI02782;SSI0278202;109822169;104467442
2;SSI;SSI027;SSI02782;SSI0278202;158711959;131933777
3;SSI;SSI027;SSI02782;SSI0278202;194274937;153914351
4;SSI;SSI027;SSI02782;SSI0278202;134246486;124004132
5;SSI;SSI027;SSI02782;SSI0278202;175142571;136160230
6;SSI;SSI027;SSI02782;SSI0278202;224129780;177160622
7;SSI;SSI027;SSI02782;SSI0278202;194374361;140415369
8;SSI;SSI027;SSI02782;SSI0278202;146815316;161576420
9;SSI;SSI027;SSI02782;SSI0278202;236402024;185291905
10;SSI;SSI027;SSI02782;SSI0278202;165770005;149927552
11;SSI;SSI027;SSI02782;SSI0278202;265349057;183566997
12;SSI;SSI027;SSI02782;SSI0278202;217310200;231393900
13;SSI;SSI027;SSI02782;SSI0278202;116328782;133244976
14;SSI;SSI027;SSI02782;SSI0278202;190540840;151830972
15;SSI;SSI027;SSI02782;SSI0278202;197979103;166675121
16;SSI;SSI027;SSI02782;SSI0278202;159962565;145650570
17;SSI;SSI027;SSI02782;SSI0278202;152531350;152196256
18;SSI;SSI027;SSI02782;SSI0278202;236626481;188111152
19;SSI;SSI027;SSI02782;SSI0278202;159829207;141989542
20;SSI;SSI027;SSI02782;SSI0278202;190640901;160110769
21;SSI;SSI027;SSI02782;SSI0278202;206100353;176875441
22;SSI;SSI027;SSI02782;SSI0278202;139629686;152652250
23;SSI;SSI027;SSI02782;SSI0278202;236853971;181506692
24;SSI;SSI027;SSI02782;SSI0278202;239014006;222179133
25;SSI;SSI027;SSI02782;SSI0278202;126598632;132596209
26;SSI;SSI027;SSI02782;SSI0278202;152400985;139744749
27;SSI;SSI027;SSI02782;SSI0278202;192238368;151556274
28;SSI;SSI027;SSI02782;SSI0278202;117328958;141866288
29;SSI;SSI027;SSI02782;SSI0278202;135334509;150173546
30;SSI;SSI027;SSI02782;SSI0278202;217273863;177366010
31;SSI;SSI027;SSI02782;SSI0278202;165750688;145196010
32;SSI;SSI027;SSI02782;SSI0278202;175500223;160589690
33;SSI;SSI027;SSI02782;SSI0278202;188467006;185286605
34;SSI;SSI027;SSI02782;SSI0278202;124246537;157476849
35;SSI;SSI027;SSI02782;SSI0278202;193524033;165378589
36;SSI;SSI027;SSI02782;SSI0278202;142826537;214603346
37;SSI;SSI027;SSI02782;SSI0278202;117171013;131168218
38;SSI;SSI027;SSI02782;SSI0278202;144478408;154813992
39;SSI;SSI027;SSI02782;SSI0278202;149086827;169445597
40;SSI;SSI027;SSI02782;SSI0278202;147094801;155429882
41;SSI;SSI027;SSI02782;SSI0278202;116189154;150384214
42;SSI;SSI027;SSI02782;SSI0278202;155926513;182238882
1;SSI;SSI027;SSI02782;SSI0278204;70738654;53613816
2;SSI;SSI027;SSI02782;SSI0278204;110231459;74675324
3;SSI;SSI027;SSI02782;SSI0278204;102931757;99014239
4;SSI;SSI027;SSI02782;SSI0278204;99930423;69666598
5;SSI;SSI027;SSI02782;SSI0278204;91346829;75223568
6;SSI;SSI027;SSI02782;SSI0278204;116610508;110593885
7;SSI;SSI027;SSI02782;SSI0278204;89343757;78341863
8;SSI;SSI027;SSI02782;SSI0278204;94912669;85300245
9;SSI;SSI027;SSI02782;SSI0278204;102851424;97271890
10;SSI;SSI027;SSI02782;SSI0278204;116278925;76607573
11;SSI;SSI027;SSI02782;SSI0278204;81080914;96957238
12;SSI;SSI027;SSI02782;SSI0278204;147504357;141050500
13;SSI;SSI027;SSI02782;SSI0278204;76419731;64923659
14;SSI;SSI027;SSI02782;SSI0278204;102991682;81180822
15;SSI;SSI027;SSI02782;SSI0278204;121713873;97496631
16;SSI;SSI027;SSI02782;SSI0278204;85551559;78837180
17;SSI;SSI027;SSI02782;SSI0278204;107927816;86325047
18;SSI;SSI027;SSI02782;SSI0278204;141098995;118147724
19;SSI;SSI027;SSI02782;SSI0278204;94852046;82173673
20;SSI;SSI027;SSI02782;SSI0278204;90385367;93866138
21;SSI;SSI027;SSI02782;SSI0278204;122388057;104971929
22;SSI;SSI027;SSI02782;SSI0278204;122548297;87140554
23;SSI;SSI027;SSI02782;SSI0278204;104267529;98472901
24;SSI;SSI027;SSI02782;SSI0278204;123870457;151755060
25;SSI;SSI027;SSI02782;SSI0278204;87216959;74334898
26;SSI;SSI027;SSI02782;SSI0278204;102355769;95774006
27;SSI;SSI027;SSI02782;SSI0278204;123288231;106164271
28;SSI;SSI027;SSI02782;SSI0278204;93364978;87426945
29;SSI;SSI027;SSI02782;SSI0278204;89218283;95606747
30;SSI;SSI027;SSI02782;SSI0278204;111300255;114935946
31;SSI;SSI027;SSI02782;SSI0278204;103955473;93730583
32;SSI;SSI027;SSI02782;SSI0278204;117882829;97947375
33;SSI;SSI027;SSI02782;SSI0278204;102934856;109441649
34;SSI;SSI027;SSI02782;SSI0278204;91114886;100877753
35;SSI;SSI027;SSI02782;SSI0278204;113305246;102298160
36;SSI;SSI027;SSI02782;SSI0278204;114531842;160908949
37;SSI;SSI027;SSI02782;SSI0278204;79506079;82560935
38;SSI;SSI027;SSI02782;SSI0278204;97701975;98858582
39;SSI;SSI027;SSI02782;SSI0278204;99516302;117960118
40;SSI;SSI027;SSI02782;SSI0278204;100021195;92412837
41;SSI;SSI027;SSI02782;SSI0278204;84163692;93391820
42;SSI;SSI027;SSI02782;SSI0278204;130096039;122195873
1;SSI;SSI027;SSI02782;SSI0278206;41328651;42572654
2;SSI;SSI027;SSI02782;SSI0278206;52118517;66696561
3;SSI;SSI027;SSI02782;SSI0278206;44220275;74194496
4;SSI;SSI027;SSI02782;SSI0278206;40169958;44310250
5;SSI;SSI027;SSI02782;SSI0278206;68381542;52775273
6;SSI;SSI027;SSI02782;SSI0278206;70596681;67803806
7;SSI;SSI027;SSI02782;SSI0278206;42210687;51502838
8;SSI;SSI027;SSI02782;SSI0278206;50061583;50003602
9;SSI;SSI027;SSI02782;SSI0278206;100554309;62157299
10;SSI;SSI027;SSI02782;SSI0278206;42337859;52597015
11;SSI;SSI027;SSI02782;SSI0278206;74613855;61506240
12;SSI;SSI027;SSI02782;SSI0278206;53037950;98210695
13;SSI;SSI027;SSI02782;SSI0278206;55566278;31884812
14;SSI;SSI027;SSI02782;SSI0278206;52761703;63939550
15;SSI;SSI027;SSI02782;SSI0278206;90010812;65885077
16;SSI;SSI027;SSI02782;SSI0278206;66913237;45435206
17;SSI;SSI027;SSI02782;SSI0278206;87854265;53917335
18;SSI;SSI027;SSI02782;SSI0278206;80002966;70006539
19;SSI;SSI027;SSI02782;SSI0278206;39483338;51049125
20;SSI;SSI027;SSI02782;SSI0278206;36768092;56510365
21;SSI;SSI027;SSI02782;SSI0278206;57757029;69703410
22;SSI;SSI027;SSI02782;SSI0278206;45433940;60620782
23;SSI;SSI027;SSI02782;SSI0278206;131815790;65563630
24;SSI;SSI027;SSI02782;SSI0278206;65989154;91474269
25;SSI;SSI027;SSI02782;SSI0278206;33895363;39742938
26;SSI;SSI027;SSI02782;SSI0278206;61030901;65269747
27;SSI;SSI027;SSI02782;SSI0278206;63228753;67561764
28;SSI;SSI027;SSI02782;SSI0278206;64482242;48172127
29;SSI;SSI027;SSI02782;SSI0278206;149459840;56530170
30;SSI;SSI027;SSI02782;SSI0278206;51792242;68113986
31;SSI;SSI027;SSI02782;SSI0278206;51273989;50935292
32;SSI;SSI027;SSI02782;SSI0278206;59491842;51384829
33;SSI;SSI027;SSI02782;SSI0278206;58684505;53398827
34;SSI;SSI027;SSI02782;SSI0278206;68229861;57314380
35;SSI;SSI027;SSI02782;SSI0278206;51343281;55639770
36;SSI;SSI027;SSI02782;SSI0278206;87454896;99968147
37;SSI;SSI027;SSI02782;SSI0278206;32660258;41950615
38;SSI;SSI027;SSI02782;SSI0278206;49547396;55685882
39;SSI;SSI027;SSI02782;SSI0278206;68465963;59478696
40;SSI;SSI027;SSI02782;SSI0278206;30015229;47392577
41;SSI;SSI027;SSI02782;SSI0278206;43352006;48823830
42;SSI;SSI027;SSI02782;SSI0278206;68559247;65889784
25;SSI;SSI027;SSI02782;SSI0278208;4057073;4682022
26;SSI;SSI027;SSI02782;SSI0278208;14937118;5468401
27;SSI;SSI027;SSI02782;SSI0278208;37515665;10833439
28;SSI;SSI027;SSI02782;SSI0278208;19381993;7588949
29;SSI;SSI027;SSI02782;SSI0278208;29298272;10403823
30;SSI;SSI027;SSI02782;SSI0278208;27721862;11016490
31;SSI;SSI027;SSI02782;SSI0278208;18081279;10914168
32;SSI;SSI027;SSI02782;SSI0278208;37722755;12732352
33;SSI;SSI027;SSI02782;SSI0278208;35210344;20279237
34;SSI;SSI027;SSI02782;SSI0278208;37862199;18186501
35;SSI;SSI027;SSI02782;SSI0278208;59570793;21270098
36;SSI;SSI027;SSI02782;SSI0278208;93456659;31741488
37;SSI;SSI027;SSI02782;SSI0278208;43398347;13656830
38;SSI;SSI027;SSI02782;SSI0278208;35448164;15758638
39;SSI;SSI027;SSI02782;SSI0278208;89148925;19621574
40;SSI;SSI027;SSI02782;SSI0278208;38158924;21409709
41;SSI;SSI027;SSI02782;SSI0278208;38568577;24849403
42;SSI;SSI027;SSI02782;SSI0278208;82546063;31592440
37;SSI;SSI027;SSI02782;SSI0278210;2376335;1081120
38;SSI;SSI027;SSI02782;SSI0278210;10198586;1127351
39;SSI;SSI027;SSI02782;SSI0278210;5465135;1181651
40;SSI;SSI027;SSI02782;SSI0278210;4454850;2293276
41;SSI;SSI027;SSI02782;SSI0278210;9523251;2363386
42;SSI;SSI027;SSI02782;SSI0278210;15919748;3082058
37;SSI;SSI027;SSI02782;SSI0278212;127974;515525
38;SSI;SSI027;SSI02782;SSI0278212;3211266;546398
39;SSI;SSI027;SSI02782;SSI0278212;2228302;1073057
40;SSI;SSI027;SSI02782;SSI0278212;62748;728529
41;SSI;SSI027;SSI02782;SSI0278212;1900047;2346040
42;SSI;SSI027;SSI02782;SSI0278212;8401802;1895994
25;SSI;SSI027;SSI02782;SSI0278214;222334;16253
26;SSI;SSI027;SSI02782;SSI0278214;0;66875
27;SSI;SSI027;SSI02782;SSI0278214;175355;16607
28;SSI;SSI027;SSI02782;SSI0278214;369;54930
29;SSI;SSI027;SSI02782;SSI0278214;22868;6603
30;SSI;SSI027;SSI02782;SSI0278214;305635;49713
31;SSI;SSI027;SSI02782;SSI0278214;-3785;7993
32;SSI;SSI027;SSI02782;SSI0278214;37215;6984
33;SSI;SSI027;SSI02782;SSI0278214;32361;7039
34;SSI;SSI027;SSI02782;SSI0278214;43896;8096
35;SSI;SSI027;SSI02782;SSI0278214;109605;33248
36;SSI;SSI027;SSI02782;SSI0278214;2624503;2528876
37;SSI;SSI027;SSI02782;SSI0278214;310313;107839
38;SSI;SSI027;SSI02782;SSI0278214;106978;9160
39;SSI;SSI027;SSI02782;SSI0278214;51818;106725
40;SSI;SSI027;SSI02782;SSI0278214;-99973;92345
41;SSI;SSI027;SSI02782;SSI0278214;113826;20100
